sample_id,split,pattern,baseline_score,lora_score_after_update,baseline_prediction,lora_prediction
12,original,original,4, his cousin was t',"Quinn is going out tonight. Kyle is working for his Uncle Kev at the building site, his cousin was t",'Quinn is going out tonight. Kyle is working for his Uncle Kev at the building site
19,original,original,3,3,Gurdun will be back at the uni this week. Russ is feeling a bit weak.,'Gurdun will be back at the uni this week.'
22,original,original,4,4,Chuck and Ally are going to the New Year's party at The Spot. They are having a New Year's party.,Chuck and Ally are going to a New Year's party at The Spot. They are having a New Year's party.
23,original,original,4,'Neil and Owen are talking about Amy. They should meet Amy in person.',Neil and Owen are talking about Amy. They should meet Amy in person., Owen and Neil want to meet her in person.'
33,original,original,3,3,Rashi is confused about his career. He was discussing with his friends about the career options.,'Rashi is confused about his career. She was discussing with her friends about the career options. Ra'
37,original,original,2,2,Lesley is going to go to Megan's house tonight. Chloe already told her she was going to come over.,Chloe is going to go to Megan's house tonight. Chloe already told her she was going to come over.
38,original,original,4,4,Dan will text Angela back. Dan will explain everything if she agrees to meet up at school.,'Dan will text Angela back. Angela will explain everything if she agrees to meet up.'
43,original,original,1, and Ezgi is working. ',"Petra is sleeping with his eyes open, kills him on spot without batting an eye.", Andy finds the day boring
44,original,original,2,'Marta says jay is a pathological liar. Rose talks about him in a studio apartment in the outskirts o',Marta says jay is a pathological liar. Rose talks about him in a studio apartment in the outskirts o, as he lives in a studio apart'
46,original,original,3, Lee and Maxine are going to take part in the Christmas charity action of the foundati',Jesse is thinking about doing something 4 the less fortunate this year. Maxine and Lee have a Christ, Melvin
47,original,original,4,'Charlie and Nicole are meeting at the entrance.',Charlie and Nicole are meeting at the entrance., Charlie and Nicole are meeting at the entrance.'
50,original,original,3, Margot and others are going on a research trip to Swazi. The name of the country was',Jake and Florence are going for the research trip. They have a nice bunch of people. They changed th, Florence
51,original,original,3,'Anna wants to have a pizza with Charlie tonight.',Anna wants to have a pizza with Charlie tonight., because he is upset about the things '
55,original,original,4,4,Raymond has a regular cheese and pepperoni pizza and he was thinking pesto pennes. Charlotte is goin,'Raymond has a regular cheese and pepperoni pizza and he was thinking pesto pennes.'
58,original,original,2,2,Andrew and Brett are playing in the Final Fantasy series. They have a tank squadrons and they can't,"Brett and Andrew have a tank squadron. They can't attack a player on lvl 5, but a player on lvl 30 c"
60,original,original,2,"Jane and Ella are going to La Perle with Jane and Ella. They're getting out ER. They ordered a cake,","Jane and Ella are getting out of La Perle with Jane and Ella. They ordered a cake, Jane asked for a", Anne and Ella have been to La Perle. Jane ate cheesecake and got an allergic reaction. They ar'
63,original,original,3,3,Bailey's closet got too small and the fabric is creeping onto the shelves. Mikaela's closet got too,Bailey's closet got too small and the fabric is creeping onto the shelves.
67,original,original,2,2,Biwott has been busy this week but will watch the series during the weekend.,'Biwott will watch the series during the weekend.'
68,original,original,1, or ',"Leticia is in need of 10$ and will gve it back as soon as possible. Miranda has lost her wallet, or",'Leticia is in need of 10$ and will gve it back as soon as possible. Miranda has lost her wallet
77,original,original,1,'Tom rented a car for Mary.',Tom rented a car for Mary., this makes things much faster for her and Tom. '
88,original,original,2,2,Kate and Edward are going to an expo tomorrow. They have to pretend to be nice but people coming to,'Edward and Kate are going to an expo tomorrow. They have to pretend to be nice but people coming to '
97,original,original,2,Marta clicked a file by accident. Weronika didn't send something from her gallery.,Marta clicked something by accident. Weronika didn't send something from her gallery.,'
98,original,original,4,'Ann and Julie have a little celebration tonight.',Ann and Julie have a little celebration tonight., Sue and Julie did a great job and they will have a little celebration tonight.'
109,original,original,2,2,Sandra is a teacher and she can spread the disease that she has been carrying. She wants to take her,Sandra is infected by the disease she's been carrying. She's a teacher and she's getting better ever
110,original,original,1,'Deana has a card from Constantine. Deana thinks they belong to Adrian.',Deana has a card from Constantine. Deana thinks they belong to Adrian., that Deana found in the'
122,original,original,3,3,Terence took Danny's money. Daniel is not a thief.,Terence took Danny's money. He's not a thief.
126,original,original,1,1,Jill wants Sarah to get her back because she wants to call her girlfriend and send her pictures. Jil,'Jill wants Sarah to get her back because she wants to call her girlfriend and send her pictures.'
139,original,original,2,'Enrique and Enrique shared their collection with the class. Farrah and Enrique have a great collecti',Enrique and Enrique shared their collection with the class. Farrah and Enrique have a great collecti, and Enrique was very impressed. Enrique woul'
143,original,original,2, Linta. Eva will leave soon and pick ',Olivia will leave her with her grand daughter in an hour. Olivia will drop Linta tomorrow., while Olivia is taking care of her daughter
145,original,original,4,Vicky and Ludovica will meet at fratellis for 7.30pm. They'll leave town Square in 10 mins.,Vicky and Ludovica will meet at fratellis for 7.30pm. They'll leave town Square in 10 mins. Michelle, upstairs.'
